Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,41.18,41.31,37.68,38.46,2755600,38.46
2014-12-01,42.69,42.73,38.09,40.94,2281400,40.84
2014-11-03,39.90,42.99,39.49,42.74,3024400,42.64
2014-10-01,56.85,57.16,49.80,55.28,3753800,39.45
2014-09-02,57.23,59.40,55.92,56.98,2551300,40.66
2014-08-01,55.77,59.06,54.19,57.16,2716000,40.69
2014-07-01,57.74,58.59,55.14,56.09,2682100,39.93
2014-06-02,56.96,59.58,56.30,57.44,2106800,40.89
2014-05-01,53.94,57.38,53.66,56.94,3218800,40.44
2014-04-01,56.20,57.24,51.96,54.04,2922800,38.38
2014-03-03,56.12,59.32,54.22,55.92,3548900,39.62
2014-02-03,58.15,60.46,54.87,56.93,5468500,40.34
2014-01-02,57.10,61.22,56.15,58.15,3723000,41.20
2013-12-02,53.47,57.94,52.56,57.19,2886200,40.52
2013-11-01,50.92,55.74,49.84,53.57,3717900,37.87
2013-10-01,50.70,53.24,49.39,50.76,3245500,35.88
2013-09-03,47.04,53.47,46.62,51.25,4740200,36.23
2013-08-01,45.51,48.33,45.32,46.64,3271000,32.90
2013-07-01,43.05,46.90,42.72,44.73,3536600,31.55
2013-06-03,45.65,46.45,41.85,42.76,5180000,30.16
2013-05-01,41.42,47.47,41.24,45.45,6216100,31.97
2013-04-01,41.83,44.79,40.32,41.44,5497400,29.15
2013-03-01,41.18,43.52,40.73,41.97,4791500,29.52
2013-02-01,45.08,45.66,40.19,41.48,5671000,29.09
2013-01-02,42.17,45.55,41.15,44.78,4793100,31.41
2012-12-03,38.60,41.74,37.69,40.94,5008300,28.71
2012-11-01,36.04,38.58,35.45,38.29,5635200,26.79
2012-10-01,38.50,39.64,35.38,35.99,5040100,25.18
2012-09-04,36.97,40.14,36.62,38.45,5883300,26.90
2012-08-01,38.73,40.97,36.55,37.16,5000300,25.93
2012-07-02,39.53,39.84,35.32,38.29,3484500,26.72
2012-06-01,39.20,41.45,36.96,39.24,4436200,27.38
2012-05-01,42.03,43.27,38.44,40.66,5185800,28.30
2012-04-02,44.51,45.15,39.15,42.18,4221300,29.36
2012-03-01,43.74,46.28,41.89,44.51,4053800,30.98
2012-02-01,43.08,45.35,41.76,43.62,4400000,30.29
2012-01-03,35.84,44.85,35.59,42.47,5304900,29.49
2011-12-01,37.30,38.58,32.51,34.93,3992600,24.26
2011-11-01,35.24,39.39,33.22,37.50,6022300,26.04
2011-10-03,30.90,41.05,28.67,37.07,8635000,25.74
2011-09-01,36.80,37.41,30.73,31.25,7987000,21.70
2011-08-01,42.62,42.78,30.22,36.87,10116400,25.60
2011-07-01,51.23,52.62,41.29,42.16,6044200,29.28
2011-06-01,49.79,51.99,46.38,51.11,5130900,35.49
2011-05-02,50.25,55.33,48.13,49.87,5452200,34.63
2011-04-01,44.88,50.68,44.26,49.91,4644300,34.66
2011-03-01,41.98,46.81,40.36,44.78,6166000,31.09
2011-02-01,42.07,45.42,39.94,42.08,6178000,29.22
2011-01-03,41.56,44.45,40.88,41.83,4754900,29.05
2010-12-01,35.65,42.08,35.61,41.43,4824000,28.77
2010-11-01,34.94,37.55,34.38,35.02,4539900,24.32
2010-10-01,33.69,35.33,32.29,34.80,4460000,24.16
2010-09-01,27.45,33.54,27.43,33.37,4935000,23.17
2010-08-02,28.35,29.87,26.68,26.97,5151100,18.73
2010-07-01,28.50,29.73,26.74,27.93,5737400,19.39
2010-06-01,32.09,33.37,28.32,28.43,4864100,19.74
2010-05-03,36.50,36.89,29.97,32.36,6406600,22.47
2010-04-01,34.54,37.43,33.55,36.26,5260800,25.18
2010-03-01,31.43,34.75,31.43,34.39,5454200,23.88
2010-02-01,28.16,31.52,28.13,31.46,5944300,21.85
2010-01-04,31.39,31.63,27.92,28.03,4520200,19.46
2009-12-01,29.10,31.77,28.98,31.07,3719300,21.57
2009-11-02,24.74,29.71,24.69,28.92,4020200,20.08
2009-10-01,26.63,27.75,24.61,24.74,4685200,17.18
2009-09-01,25.51,29.38,24.96,27.83,6101800,19.32
2009-08-03,23.61,26.05,23.14,25.68,5865000,17.83
2009-07-01,20.37,23.89,18.50,23.22,4900300,16.12
2009-06-01,18.44,20.56,18.17,20.31,4735800,14.10
2009-05-01,18.21,19.42,17.26,18.23,4104000,12.66
2009-04-01,15.12,18.94,15.02,18.26,5077000,12.68
2009-03-02,13.60,17.18,12.02,15.37,5869300,10.67
2009-02-02,17.79,19.69,13.80,13.87,6599400,9.63
2009-01-02,15.60,20.04,15.51,18.08,7390900,12.55
2008-12-01,18.42,18.42,14.76,15.63,8193100,10.85
2008-11-03,22.13,25.07,15.78,18.83,4358300,13.08
2008-10-01,29.18,29.92,18.75,22.19,5048200,15.41
2008-09-02,35.09,35.70,28.64,29.66,4598100,20.60
2008-08-01,36.14,37.25,33.93,34.76,3044100,24.14
2008-07-01,35.04,36.92,34.40,36.06,3808100,25.04
2008-06-02,36.93,38.00,35.35,35.54,4215900,24.68
2008-05-01,30.20,37.50,29.89,37.39,4328900,25.96
2008-04-01,29.91,31.99,28.79,30.21,3274600,20.98
2008-03-03,30.63,31.29,28.88,29.83,3862900,20.71
2008-02-01,34.00,34.86,30.48,30.61,5975500,21.26
2008-01-02,36.67,37.83,31.26,33.86,5332900,23.51
2007-12-03,37.48,38.24,34.98,36.74,2906100,25.51
2007-11-01,36.67,38.14,32.87,37.83,3599000,26.27
2007-10-01,36.97,39.32,35.44,36.85,2466400,25.59
2007-09-04,36.59,37.53,35.76,36.88,2795200,25.61
2007-08-01,38.05,39.37,31.15,36.40,4883400,25.28
2007-07-02,38.70,40.42,37.26,38.15,3525100,26.49
2007-06-01,38.17,39.44,36.94,38.44,2943100,26.69
2007-05-01,34.48,38.97,34.40,38.17,4571500,26.51
2007-04-02,33.63,35.80,33.49,34.37,4068400,23.87
2007-03-01,31.15,33.96,30.26,33.69,4104800,23.39
2007-02-01,32.17,34.15,31.24,31.75,4841200,22.05
2007-01-03,34.99,35.48,31.87,32.00,3380300,22.22
2006-12-01,31.97,35.69,31.68,34.85,3432800,24.20
2006-11-01,33.90,35.15,31.71,31.84,5228600,22.11
2006-10-02,32.50,35.81,32.05,35.60,3411700,23.29
2006-09-01,32.16,33.40,30.31,32.69,3988000,21.39
2006-08-01,28.32,32.33,26.96,32.16,3369700,21.04
2006-07-03,31.74,32.00,27.47,28.44,4342700,18.61
2006-06-01,34.70,35.61,29.84,31.56,4760500,20.65
2006-05-01,38.55,39.45,33.48,34.89,4521900,22.83
2006-04-03,37.80,39.54,36.11,38.42,3264200,25.14
2006-03-01,36.10,38.14,35.75,37.55,3806600,24.57
2006-02-01,33.78,36.74,33.52,36.00,4546600,23.55
2006-01-03,33.40,35.25,32.82,33.91,3984300,22.19
2005-12-01,35.66,36.10,33.09,33.29,7332000,21.78
2005-11-01,32.01,35.81,31.90,35.66,5252000,23.33
2005-10-03,32.83,33.30,29.97,32.01,4145900,20.94
2005-09-01,31.91,34.45,31.88,32.75,5555900,21.43
2005-08-01,26.23,32.22,25.18,32.16,5945000,21.04
2005-07-01,23.20,26.63,23.13,26.24,2905500,17.17
2005-06-01,24.01,25.05,22.95,23.02,2551700,15.06
2005-05-02,20.75,24.15,20.72,24.01,3350500,15.71
2005-04-01,22.40,22.53,20.11,20.75,3804500,13.58
2005-03-01,24.05,24.99,21.76,22.20,3710400,14.52
2005-02-01,22.01,24.53,21.85,24.00,3970600,15.70
2005-01-03,24.10,24.18,21.43,22.11,3671200,14.47
2004-12-01,23.03,24.80,22.88,24.10,2563100,15.77
2004-11-01,24.95,25.90,21.90,22.89,4515200,14.98
2004-10-01,21.70,25.31,21.63,25.06,4187700,16.40
2004-09-01,20.43,23.60,20.14,21.57,3689200,14.11
2004-08-02,23.82,24.16,19.51,20.50,4601800,13.41
2004-07-01,29.12,29.15,22.63,23.81,4130000,15.58
2004-06-01,25.45,29.68,25.05,29.28,4462200,19.16
2004-05-03,27.05,27.69,23.80,25.70,5749200,16.81
2004-04-01,31.63,32.70,26.91,27.01,3487100,17.67
2004-03-01,34.14,35.00,28.80,31.63,4774300,20.69
2004-02-02,36.95,37.62,33.20,34.19,4814300,22.37
2004-01-02,29.25,38.80,28.78,36.86,6920000,24.12
2003-12-01,28.44,29.42,26.29,29.24,3220000,19.13
2003-11-03,24.99,29.35,24.97,28.28,3886900,18.50
2003-10-01,22.15,25.31,21.84,24.92,2655800,16.30
2003-09-02,24.40,26.48,22.10,22.11,3577700,14.47
2003-08-01,21.73,25.30,20.31,24.32,2856600,15.91
2003-07-01,19.46,22.64,19.30,21.73,3568100,14.22
2003-06-02,19.00,19.95,18.25,19.55,3199500,12.79
2003-05-01,16.02,18.33,15.48,18.13,3399600,11.86
2003-04-01,13.18,16.40,13.15,16.02,2644000,10.48
2003-03-03,13.40,15.00,12.11,13.15,2812700,8.60
2003-02-03,16.48,16.82,11.30,13.20,5523800,8.64
2003-01-02,18.22,20.30,15.82,16.48,3375900,10.78
